,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135
9,Tis Hazari,16,16,15,15,15,12,10,8,8,8,8,10,12,15,15,15,16,16,16,18,18,18,19,19,19,21,12,15,15,16,16,16,18,18,16,16,15,15,12,12,10,10,8,10,10,10,12,12,15,15,15,16,16,18,18,18,19,19,21,21,22,22,23,25,25,25,27,27,27,21,19,19,19,18,18,16,22,22,21,21,21,19,19,19,18,18,16,15,15,15,15,12,15,15,15,16,16,18,18,18,19,19,19,21,21,21,22,22,22,23,23,23,25,25,25,27,27,27,27,28,15,16,16,18,18,18,19,19,19,21,21,22,22,22,23,23
10,Pul Bangash,16,16,16,15,15,15,12,10,8,8,8,10,10,12,15,15,15,16,16,16,18,18,18,19,19,19,12,12,15,15,16,16,16,18,16,16,16,15,15,12,12,10,10,10,12,12,12,15,15,15,16,16,16,18,18,18,19,21,21,22,22,23,23,25,25,27,27,27,28,21,21,19,19,19,18,18,23,22,22,21,21,21,19,19,18,18,16,16,15,15,15,15,15,15,16,16,16,18,18,18,19,19,21,21,21,22,22,22,23,23,23,25,25,25,27,27,27,27,28,28,15,16,18,18,18,19,19,21,21,21,22,22,22,23,23,25
11,Pratap Nagar,18,16,16,16,15,15,12,10,8,8,8,8,10,12,12,15,15,15,16,16,16,18,18,18,19,19,12,12,15,15,15,16,16,16,18,16,16,15,15,15,12,12,10,12,12,12,12,15,15,16,16,16,18,18,18,19,19,21,21,22,22,23,23,25,27,27,27,28,28,21,21,21,19,19,18,18,23,22,22,22,21,21,21,19,19,18,18,16,16,15,15,15,15,16,16,16,18,18,18,19,19,19,21,21,21,22,22,23,23,23,25,25,25,27,27,27,27,28,28,28,16,16,18,18,19,19,19,21,21,21,22,22,23,23,25,25
12,Shastri Nagar,18,18,18,16,16,15,15,12,10,10,8,8,8,10,10,12,15,15,15,15,16,16,16,18,18,19,10,10,12,12,15,15,15,16,18,18,16,16,16,15,15,12,12,12,15,15,15,15,16,16,16,18,18,19,19,19,21,21,22,22,23,23,25,25,27,27,28,28,28,22,21,21,21,19,19,19,23,23,23,22,22,21,21,21,19,19,18,18,16,16,16,15,16,16,18,18,18,19,19,19,21,21,21,22,22,22,23,23,23,25,25,25,27,27,27,27,28,28,28,29,16,18,19,19,19,21,21,21,22,22,22,23,23,25,25,25
13,Inder Lok,19,18,18,18,16,16,15,12,12,10,10,8,8,8,10,10,12,12,15,15,15,16,16,16,18,18,8,8,10,12,12,15,15,15,19,18,18,16,16,16,15,15,12,15,15,15,15,16,16,18,18,18,19,19,19,21,21,22,22,23,23,25,25,27,27,28,28,28,29,22,22,22,21,21,19,19,25,23,23,23,22,22,21,21,21,19,19,18,18,16,16,16,16,18,18,18,19,19,19,21,21,21,22,22,22,23,23,25,25,25,25,27,27,27,28,28,28,28,29,29,18,18,19,19,21,21,21,22,22,22,23,23,25,25,25,27
14,Ashok Park Main,19,19,18,18,18,16,16,15,15,12,12,10,8,8,8,10,10,12,12,15,15,15,15,16,16,18,10,10,12,15,15,15,16,16,19,19,18,18,16,16,16,15,15,15,16,16,16,16,18,18,18,19,19,21,21,21,22,22,23,23,25,25,25,27,28,28,28,29,29,23,22,22,22,21,21,21,25,25,23,23,23,22,22,22,21,21,19,19,18,18,18,16,18,18,19,19,19,21,21,21,22,22,22,23,23,23,25,25,25,25,27,27,27,28,28,28,28,29,29,29,18,19,19,21,21,22,22,22,23,23,23,25,25,25,27,27
15,Punjabi Bagh,19,19,19,18,18,18,16,15,15,15,12,10,10,8,8,8,10,10,12,12,15,15,15,15,16,16,10,12,12,15,15,15,16,16,21,19,19,18,18,16,16,16,15,16,16,16,16,18,18,18,19,19,19,21,21,22,22,23,23,25,25,25,27,27,28,28,29,29,29,23,23,22,22,22,21,21,25,25,25,23,23,23,22,22,22,21,19,19,19,18,18,18,18,18,19,19,21,21,21,22,22,22,23,23,23,25,25,25,25,27,27,27,28,28,28,28,29,29,29,29,18,19,21,21,22,22,22,23,23,23,25,25,25,25,27,27
16,Shivaji Park ,21,21,19,19,18,18,18,16,15,15,15,12,10,10,8,8,8,8,10,10,12,12,15,15,15,16,12,12,15,15,16,16,16,18,21,21,19,19,18,18,18,16,16,16,18,18,18,18,19,19,19,21,21,21,22,22,23,23,23,25,25,27,27,28,28,29,29,29,29,25,23,23,23,22,22,21,27,25,25,25,25,23,23,22,22,21,21,19,19,19,18,18,19,19,19,21,21,21,22,22,22,23,23,23,25,25,25,27,27,27,27,28,28,28,29,29,29,29,29,30,19,21,21,22,22,22,23,23,23,25,25,25,27,27,27,28
17,Madi Pur,21,21,21,19,19,18,18,16,16,15,15,15,12,10,10,8,8,8,8,10,10,12,12,15,15,15,15,15,15,16,16,16,18,18,21,21,19,19,19,18,18,18,16,18,18,18,18,19,19,19,19,21,21,22,22,22,23,25,25,25,27,27,27,28,29,29,29,29,30,25,25,23,23,22,22,22,27,27,25,25,25,25,23,23,22,22,21,21,19,19,19,19,19,19,21,21,21,22,22,22,23,23,25,25,25,25,25,27,27,27,28,28,28,29,29,29,29,29,30,30,19,21,22,22,22,23,23,23,25,25,25,27,27,27,28,28
18,Paschim Vihar (East),22,21,21,19,19,19,18,16,16,16,15,15,12,12,10,8,8,8,8,8,10,10,12,12,15,15,15,15,16,16,16,18,18,18,22,21,21,19,19,19,18,18,16,18,18,18,18,19,19,19,21,21,22,22,22,23,23,25,25,25,27,27,27,28,29,29,29,29,30,25,25,23,23,23,22,22,27,27,27,25,25,25,23,23,23,22,22,21,21,19,19,19,19,21,21,21,22,22,22,23,23,23,25,25,25,25,27,27,27,27,28,28,28,29,29,29,29,29,30,30,19,21,22,22,23,23,23,25,25,25,25,27,27,27,28,28
19,Paschim Vihar (West),22,22,21,21,19,19,19,18,16,16,16,15,15,12,12,10,8,8,8,8,10,10,10,12,12,15,15,15,16,16,18,18,18,19,22,22,21,21,19,19,18,18,18,18,19,19,19,19,21,21,21,21,22,22,23,23,25,25,25,27,27,27,28,28,29,29,29,30,30,25,25,25,23,23,23,22,27,27,27,27,25,25,25,23,23,22,22,21,21,21,19,19,21,21,21,22,22,22,23,23,23,25,25,25,25,27,27,27,27,28,28,28,29,29,29,29,29,30,30,30,21,22,22,22,23,23,25,25,25,25,27,27,27,28,28,28
20,Peera Garhi,22,22,22,21,21,19,19,18,18,16,16,15,15,15,12,10,10,8,8,8,8,8,10,10,12,15,15,16,16,18,18,18,19,19,22,22,21,21,19,19,19,18,18,18,19,19,19,19,21,21,21,22,22,23,23,23,25,25,25,27,27,28,28,29,29,29,30,30,30,27,25,25,25,23,23,23,28,27,27,27,25,25,25,25,23,23,22,22,21,21,21,19,21,21,22,22,22,23,23,23,25,25,25,25,27,27,27,27,28,28,28,29,29,29,29,29,30,30,30,30,21,22,23,23,23,25,25,25,25,27,27,27,27,28,28,29
21,Udyog Nagar,23,22,22,22,21,21,19,18,18,18,16,16,15,15,15,12,10,10,10,8,8,8,8,10,10,12,16,16,18,18,18,19,19,19,23,22,22,21,21,21,19,19,18,19,19,19,19,21,21,22,22,22,23,23,23,25,25,25,27,27,28,28,28,29,29,30,30,30,30,27,25,25,25,25,23,23,28,28,27,27,27,27,25,25,25,23,23,22,22,21,21,21,21,22,22,22,23,23,23,25,25,25,25,27,27,27,27,28,28,28,29,29,29,29,29,30,30,30,30,30,22,22,23,23,25,25,25,25,27,27,27,27,28,28,29,29
22,Surajmal Stadium,23,22,22,22,21,21,19,19,18,18,18,16,16,15,15,12,12,10,10,8,8,8,8,8,10,12,16,16,18,18,19,19,19,21,23,22,22,22,21,21,19,19,19,19,19,19,21,21,21,22,22,22,23,23,25,25,25,27,27,27,28,28,28,29,29,30,30,30,30,27,27,25,25,25,25,23,28,28,27,27,27,27,25,25,25,23,23,22,22,22,21,21,21,22,22,23,23,23,25,25,25,25,27,27,27,27,28,28,28,28,29,29,29,29,30,30,30,30,30,30,22,23,23,23,25,25,25,27,27,27,27,28,28,28,29,29
23,Nangloai,23,23,22,22,22,21,21,19,19,18,18,16,16,15,15,15,12,12,10,10,8,8,8,8,10,10,16,18,18,19,19,19,21,21,23,23,22,22,21,21,21,19,19,19,21,21,21,21,22,22,22,23,23,25,25,25,25,27,27,28,28,28,29,29,30,30,30,30,30,27,27,27,25,25,25,25,28,28,28,27,27,27,27,25,25,25,23,23,22,22,22,21,22,22,23,23,23,25,25,25,25,27,27,27,27,28,28,28,28,29,29,29,29,30,30,30,30,30,30,30,22,23,23,25,25,25,27,27,27,27,28,28,28,28,29,29
24,Nangloai Rly. Station,23,23,23,22,22,22,21,19,19,19,18,18,16,16,15,15,15,12,12,10,10,8,8,8,8,10,18,18,18,19,19,19,21,21,23,23,23,22,22,21,21,21,19,21,21,21,21,22,22,22,23,23,23,25,25,25,27,27,27,28,28,29,29,29,30,30,30,30,30,27,27,27,27,25,25,25,29,28,28,28,27,27,27,27,25,25,23,23,23,22,22,22,22,22,23,23,23,25,25,25,27,27,27,27,28,28,28,28,29,29,29,29,30,30,30,30,30,30,30,30,22,23,25,25,25,25,27,27,27,27,28,28,28,29,29,29
25,Rajdhani Park,25,23,23,23,22,22,21,21,19,19,19,18,18,16,16,15,15,15,12,12,10,10,10,8,8,8,18,18,19,19,21,21,21,22,25,23,23,23,22,22,21,21,21,21,21,21,22,22,22,23,23,23,25,25,25,27,27,27,28,28,28,29,29,30,30,30,30,30,30,28,27,27,27,27,25,25,29,29,28,28,28,27,27,27,27,25,25,23,23,23,22,22,22,23,23,25,25,25,25,27,27,27,27,28,28,28,28,29,29,29,29,30,30,30,30,30,30,30,30,30,23,25,25,25,27,27,27,27,28,28,28,28,29,29,29,30
26,Mundka,25,25,25,23,23,22,22,21,21,19,19,19,18,18,16,16,15,15,15,15,12,12,10,10,8,8,18,19,19,21,21,21,22,22,25,25,23,23,23,22,22,21,21,21,22,22,22,22,23,23,23,25,25,25,27,27,27,28,28,28,29,29,29,30,30,30,30,30,30,28,28,27,27,27,27,25,29,29,29,28,28,28,27,27,27,25,25,25,23,23,23,22,23,23,25,25,25,25,27,27,27,27,28,28,28,28,29,29,29,29,30,30,30,30,30,30,30,30,30,30,23,25,25,25,27,27,27,28,28,28,28,29,29,29,30,30
27,Kanhaiya Nagar,19,19,18,18,18,16,16,15,12,12,12,10,8,10,10,12,15,15,15,15,16,16,16,18,18,18,8,8,10,10,12,12,15,15,19,19,18,18,16,16,16,15,15,15,16,16,16,16,18,18,18,19,19,19,21,21,22,22,23,23,25,25,25,27,28,28,28,29,29,23,22,22,22,21,21,19,25,25,23,23,23,22,22,22,21,21,19,18,18,18,16,16,18,18,18,19,19,21,21,21,22,22,22,23,23,23,23,25,25,25,27,27,27,28,28,28,28,29,29,29,18,19,19,21,21,21,22,22,22,23,23,25,25,25,27,27
