,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135
38,Model Town,19,18,18,16,16,16,15,12,15,15,15,16,16,18,18,19,19,19,21,21,21,22,22,22,23,23,18,18,18,19,19,19,21,21,12,10,8,8,8,10,10,12,12,15,15,15,15,16,16,16,18,18,19,19,19,21,21,22,22,23,23,25,25,27,27,28,28,28,29,22,22,21,21,21,19,19,25,23,23,23,22,22,21,21,21,19,19,18,18,16,16,16,16,18,18,18,19,19,19,21,21,21,22,22,22,23,23,23,25,25,25,27,27,27,27,28,28,28,28,29,16,18,19,19,21,21,21,22,22,22,23,23,23,25,25,27
39,GTB Nagar,18,18,16,16,16,15,15,12,12,15,15,16,16,16,18,18,19,19,19,19,21,21,21,22,22,23,16,18,18,18,19,19,19,21,12,12,10,8,8,8,10,10,12,12,15,15,15,15,16,16,16,18,18,19,19,19,21,21,22,22,23,23,25,25,27,27,28,28,28,22,21,21,21,19,19,19,23,23,22,22,22,21,21,21,19,19,18,18,16,16,16,15,16,16,18,18,18,19,19,19,21,21,21,22,22,22,23,23,23,25,25,25,27,27,27,27,28,28,28,29,16,18,18,19,19,19,21,21,22,22,22,23,23,23,25,25
40,Viswavidyalaya,18,16,16,16,15,15,12,10,12,12,15,15,16,16,16,18,18,19,19,19,21,21,21,21,22,22,16,16,18,18,18,19,19,21,15,12,10,10,8,8,8,10,10,12,12,12,15,15,15,16,16,16,18,18,19,19,19,21,21,22,22,23,23,25,27,27,27,28,28,22,21,21,19,19,19,18,23,23,22,22,21,21,21,19,19,18,18,16,16,16,15,15,15,16,16,18,18,18,19,19,19,21,21,21,22,22,22,23,23,23,25,25,25,27,27,27,27,28,28,28,16,18,18,18,19,19,21,21,21,22,22,22,23,23,25,25
41,Vidhan Sabha,16,16,16,15,15,15,12,10,10,12,12,15,15,16,16,18,18,18,18,19,19,19,21,21,21,22,16,16,16,18,18,18,19,19,15,15,12,10,10,8,8,8,10,10,12,12,12,15,15,15,16,16,16,18,18,18,19,21,21,22,22,23,23,25,25,27,27,27,28,21,21,19,19,19,18,18,23,22,22,21,21,21,19,19,19,18,16,16,16,15,15,15,15,15,16,16,16,18,18,19,19,19,21,21,21,22,22,22,23,23,23,25,25,25,27,27,27,27,28,28,15,16,18,18,18,19,19,21,21,21,22,22,22,23,23,25
42,Civil Lines,16,16,15,15,15,12,10,8,10,10,12,12,15,15,16,16,18,18,18,18,19,19,19,21,21,21,15,15,16,16,18,18,18,19,15,15,12,12,10,10,8,8,8,10,10,10,12,12,15,15,15,16,16,16,18,18,19,19,21,21,22,22,23,25,25,25,27,27,27,21,19,19,19,18,18,16,22,22,21,21,21,19,19,19,18,18,16,15,15,15,12,12,15,15,15,16,16,18,18,18,19,19,19,21,21,21,21,22,22,23,23,23,25,25,25,27,27,27,27,28,15,16,16,18,18,18,19,19,19,21,21,22,22,22,23,23
43,Kashmere Gate,16,15,15,15,12,12,10,8,8,10,10,12,12,15,15,16,16,16,18,18,18,19,19,19,21,21,15,15,16,16,16,18,18,18,16,15,15,12,12,10,10,8,8,8,10,10,10,12,12,15,15,15,16,16,16,18,18,19,19,21,21,22,22,23,25,25,25,27,27,19,19,19,18,18,16,16,22,21,21,21,19,19,19,18,18,16,16,15,15,12,12,12,12,15,15,15,16,16,16,18,18,18,19,19,19,21,21,22,22,22,23,23,25,25,25,25,27,27,27,28,15,15,16,16,18,18,18,19,19,19,21,21,22,22,23,23
44,Delhi Main,16,16,15,15,15,12,10,8,10,10,12,12,15,15,16,16,18,18,18,18,19,19,19,21,21,21,15,16,16,16,18,18,18,19,16,16,15,15,12,12,10,10,8,8,8,8,8,10,12,12,12,15,15,16,16,16,18,18,19,19,21,21,22,23,25,25,25,25,27,19,18,18,18,16,16,16,22,21,21,19,19,19,18,18,16,16,15,15,12,12,10,10,12,12,15,15,15,16,16,16,18,18,18,19,19,19,21,21,22,22,22,23,23,25,25,25,25,27,27,27,12,15,16,16,16,18,18,18,19,19,19,21,21,22,22,23
45,Chawri Bazar,16,16,16,15,15,15,12,10,10,12,12,15,15,16,16,18,18,18,19,19,19,19,21,21,21,22,16,16,16,18,18,18,19,19,18,16,16,15,15,12,12,10,10,8,8,8,8,8,10,10,12,12,15,15,16,16,16,18,18,19,19,21,21,22,23,25,25,25,27,19,18,18,16,16,16,15,21,21,19,19,18,18,18,16,16,15,15,12,12,10,10,8,10,12,12,15,15,15,16,16,16,18,18,18,19,19,19,21,21,21,22,22,23,23,23,25,25,25,25,27,10,15,15,15,16,16,18,18,18,19,19,19,21,21,22,22
45,Chandni Chowk,16,16,16,15,15,15,12,10,10,12,12,15,15,16,16,18,18,18,19,19,19,19,21,21,21,22,16,16,16,18,18,18,19,19,18,16,16,15,15,12,12,10,10,8,8,8,8,8,10,10,12,12,15,15,16,16,16,18,18,19,19,21,21,22,23,25,25,25,27,19,18,18,16,16,16,15,21,21,19,19,18,18,18,16,16,15,15,12,12,10,10,8,10,12,12,15,15,15,16,16,16,18,18,18,19,19,19,21,21,21,22,22,23,23,23,25,25,25,25,27,10,15,15,15,16,16,18,18,18,19,19,19,21,21,22,22
46,New Delhi,18,16,16,16,15,15,12,10,12,12,12,15,15,16,16,18,18,18,19,19,19,21,21,21,22,22,16,16,18,18,18,19,19,19,18,16,16,15,15,15,12,12,10,8,8,8,8,8,10,10,10,12,15,15,15,16,16,18,18,19,19,21,21,22,23,23,25,25,25,18,18,18,16,16,15,15,21,19,19,19,18,18,18,16,16,15,15,12,10,10,8,8,10,10,12,12,15,15,15,16,16,16,18,18,18,19,19,21,21,21,22,22,23,23,23,25,25,25,25,27,10,12,15,15,16,16,16,18,18,18,19,19,21,21,22,22
47,Rajiv Chowk,18,18,16,16,16,15,15,12,12,15,15,15,16,16,18,18,19,19,19,19,21,21,21,22,22,22,16,18,18,18,19,19,19,21,18,18,16,16,15,15,15,12,12,10,8,8,8,8,8,10,10,12,12,15,15,15,16,16,18,18,19,19,21,22,23,23,23,25,25,18,16,16,16,15,15,15,19,19,19,18,18,16,16,16,15,15,12,10,10,8,8,8,8,10,10,12,12,15,15,15,16,16,16,18,18,18,19,19,19,21,21,22,22,22,23,23,23,25,25,25,10,12,15,15,15,16,16,16,18,18,18,19,19,21,21,22
48,Patel Chowk,18,18,18,16,16,16,15,12,15,15,15,16,16,18,18,19,19,19,21,21,21,21,22,22,22,23,18,18,18,19,19,19,21,21,19,18,18,16,16,15,15,15,12,12,10,10,10,8,8,8,8,10,12,12,15,15,15,16,16,18,18,19,19,21,22,22,23,23,25,18,18,18,16,16,15,15,21,19,19,19,18,18,18,16,16,15,15,12,10,10,8,8,10,10,12,12,15,15,15,16,16,16,18,18,18,19,19,21,21,21,22,22,23,23,23,25,25,25,25,27,8,10,12,12,15,15,16,16,16,18,18,18,19,19,21,21
49,Central Secretariat,19,18,18,18,16,16,15,15,15,15,16,16,18,18,18,19,19,19,21,21,22,22,22,22,23,23,18,18,19,19,19,21,21,22,19,18,18,16,16,16,15,15,15,12,10,10,10,10,8,8,8,8,10,12,12,15,15,16,16,18,18,19,19,21,22,22,23,23,25,19,18,18,16,16,16,15,21,21,19,19,18,18,18,16,16,15,15,12,12,10,10,10,10,12,12,15,15,15,16,16,16,18,18,18,19,19,19,21,21,22,22,22,23,23,23,25,25,25,27,27,8,10,12,12,15,15,15,16,16,16,18,18,18,19,21,21
50,Udyog Bhawan,19,19,18,18,18,16,16,15,15,16,16,16,18,18,19,19,19,21,21,21,22,22,22,23,23,23,18,18,19,19,21,21,21,22,19,19,18,18,16,16,16,15,15,12,12,12,10,10,8,8,8,8,10,10,12,12,15,16,16,18,18,18,19,21,22,22,22,23,23,19,18,18,18,16,16,16,21,21,19,19,19,18,18,18,16,16,15,15,12,12,10,10,10,12,15,15,15,16,16,16,18,18,18,19,19,19,21,21,21,22,22,23,23,23,25,25,25,25,27,27,8,10,12,12,15,15,16,16,16,16,18,18,19,19,21,21
51,Race Course,19,19,19,18,18,18,16,15,16,16,16,18,18,19,19,21,21,21,21,22,22,22,23,23,23,25,19,19,19,21,21,21,22,22,21,19,19,18,18,16,16,16,15,15,12,12,12,12,10,8,8,8,8,10,10,12,15,15,15,16,18,18,18,19,21,22,22,22,23,19,19,18,18,18,16,16,22,21,21,21,19,19,18,18,18,16,16,15,15,12,12,12,12,15,15,15,16,16,16,18,18,18,19,19,19,21,21,22,22,22,23,23,25,25,25,25,25,27,27,27,8,12,15,15,15,16,16,16,18,18,18,19,19,21,21,22
52,Jorbagh,21,21,19,19,18,18,16,16,16,16,18,18,19,19,19,21,21,22,22,22,23,23,23,23,25,25,19,19,21,21,22,22,22,23,21,21,19,19,18,18,16,16,16,15,15,15,15,12,12,10,10,8,8,8,10,10,12,15,15,16,16,18,18,19,21,21,22,22,22,21,19,19,19,18,18,16,22,22,21,21,21,19,19,19,18,18,16,15,15,15,12,12,15,15,15,16,16,18,18,18,19,19,19,21,21,21,21,22,22,23,23,23,25,25,25,27,27,27,27,28,10,12,15,15,16,16,16,18,18,18,19,19,21,21,22,22
53,INA,21,21,21,19,19,18,18,16,18,18,18,19,19,21,21,21,22,22,22,23,23,23,25,25,25,25,19,21,21,22,22,22,23,23,21,21,19,19,19,18,18,16,16,16,15,15,15,15,12,12,10,10,8,8,8,8,10,12,15,15,16,16,18,19,19,21,21,22,22,21,21,19,19,19,18,18,23,22,22,21,21,21,19,19,19,18,16,16,16,15,15,15,15,15,16,16,18,18,18,19,19,19,21,21,21,22,22,22,23,23,23,25,25,25,27,27,27,27,28,28,12,15,15,16,16,16,18,18,19,19,19,21,21,21,22,22
54,AIIMS,22,21,21,21,19,19,18,16,18,18,18,19,19,21,21,22,22,22,23,23,23,25,25,25,25,27,21,21,21,22,22,23,23,23,22,21,21,19,19,19,18,18,16,16,16,16,15,15,15,12,12,10,10,8,8,8,10,12,12,15,15,16,16,18,19,19,21,21,22,21,21,21,19,19,19,18,23,23,22,22,21,21,21,19,19,18,18,16,16,16,15,15,15,16,16,16,18,18,19,19,19,21,21,21,22,22,22,23,23,23,25,25,25,27,27,27,27,28,28,28,12,15,16,16,16,18,18,19,19,19,21,21,21,22,22,23
55,Green Park,22,22,21,21,19,19,19,18,18,18,19,19,21,21,22,22,22,23,23,23,25,25,25,25,27,27,21,21,22,22,23,23,23,25,22,22,21,21,19,19,18,18,18,16,16,16,16,15,15,15,12,12,10,8,8,8,8,10,12,15,15,16,16,18,19,19,21,21,21,22,21,21,21,19,19,18,23,23,22,22,22,21,21,21,19,19,18,16,16,16,16,15,16,16,16,18,18,19,19,19,21,21,21,22,22,22,23,23,23,25,25,25,27,27,27,27,28,28,28,29,15,15,16,16,18,18,18,19,19,19,21,21,22,22,23,23
56,Hauz Khas,22,22,22,21,21,21,19,18,19,19,19,21,21,22,22,23,23,23,25,25,25,25,25,27,27,27,22,22,22,23,23,23,25,25,23,22,22,21,21,19,19,19,18,18,16,16,16,16,15,15,15,15,12,10,10,8,8,8,10,12,12,15,15,16,18,19,19,19,21,22,22,22,21,21,19,19,25,23,23,23,22,22,21,21,21,19,19,18,18,16,16,16,16,18,18,18,19,19,19,21,21,21,22,22,22,23,23,25,25,25,25,27,27,27,27,28,28,28,29,29,15,16,18,18,18,19,19,19,21,21,21,22,22,23,23,25
57,Malviya Nagar,23,23,22,22,22,21,21,19,19,21,21,21,22,22,23,23,25,25,25,25,25,27,27,27,27,28,22,22,23,23,25,25,25,25,23,23,22,22,21,21,21,19,19,18,18,18,18,16,16,16,16,15,15,12,12,10,8,8,8,10,12,12,15,16,18,18,18,19,19,23,22,22,22,21,21,21,25,25,25,23,23,22,22,22,21,21,19,19,18,18,18,16,18,18,19,19,19,21,21,21,22,22,22,23,23,23,25,25,25,25,27,27,27,28,28,28,28,29,29,29,16,18,18,18,19,19,21,21,21,22,22,22,23,23,25,25
58,Saket,23,23,23,22,22,22,21,19,21,21,21,22,22,23,23,23,25,25,25,25,27,27,27,27,28,28,23,23,23,25,25,25,25,27,23,23,23,22,22,21,21,21,19,19,18,18,18,18,16,16,16,15,15,15,12,12,10,8,8,8,10,12,15,15,16,18,18,19,19,23,23,22,22,22,21,21,25,25,25,23,23,23,22,22,22,21,21,19,19,18,18,18,18,19,19,19,21,21,21,22,22,22,23,23,23,25,25,25,25,27,27,27,28,28,28,28,29,29,29,29,16,18,18,19,19,21,21,21,22,22,22,23,23,23,25,25
59,Qutab Minar,25,25,23,23,23,22,22,21,21,22,22,22,23,23,25,25,25,25,27,27,27,27,28,28,28,28,23,23,25,25,25,27,27,27,25,25,23,23,22,22,22,21,21,19,19,19,19,18,18,18,18,16,16,15,15,15,12,10,8,8,8,10,12,15,16,16,16,18,18,25,23,23,23,22,22,22,27,27,25,25,25,23,23,23,22,22,21,21,19,19,19,18,19,19,21,21,21,22,22,22,23,23,23,25,25,25,25,27,27,27,27,28,28,28,29,29,29,29,29,30,18,19,19,19,21,21,22,22,22,22,23,23,25,25,25,27
60,Chhattarpur,25,25,25,23,23,23,22,21,22,22,22,23,23,25,25,25,27,27,27,27,28,28,28,28,28,29,25,25,25,25,27,27,27,28,25,25,25,23,23,22,22,22,21,21,19,19,19,19,18,18,18,18,16,16,15,15,12,12,10,8,8,8,10,12,15,16,16,16,18,25,25,25,23,23,22,22,27,27,27,25,25,25,23,23,23,22,22,21,21,19,19,19,19,21,21,21,22,22,22,23,23,23,25,25,25,25,27,27,27,28,28,28,29,29,29,29,29,30,30,30,18,19,21,21,21,22,22,22,23,23,23,25,25,25,27,27
61,Sultanpur,27,25,25,25,25,23,23,22,22,23,23,23,25,25,25,27,27,27,27,28,28,28,28,29,29,29,25,25,27,27,27,27,28,28,27,25,25,25,23,23,23,22,22,21,21,21,21,19,19,19,18,18,18,16,16,16,15,12,12,10,8,8,8,12,15,15,15,16,16,27,25,25,25,23,23,23,28,27,27,27,25,25,25,25,23,23,22,22,21,21,21,19,21,21,22,22,22,23,23,23,25,25,25,25,27,27,27,27,28,28,28,29,29,29,29,29,30,30,30,30,19,21,21,21,22,22,23,23,23,23,25,25,25,27,27,27
62,Ghotorni,27,27,25,25,25,25,23,22,23,23,23,25,25,25,27,27,27,27,28,28,28,28,29,29,29,29,25,27,27,27,27,28,28,28,27,27,25,25,25,23,23,23,22,22,21,21,21,21,19,19,19,18,18,18,16,16,15,15,15,12,10,8,8,10,12,15,15,15,16,27,25,25,25,25,23,23,28,28,27,27,27,25,25,25,25,23,23,22,22,21,21,21,21,22,22,22,23,23,23,25,25,25,25,27,27,27,27,28,28,28,29,29,29,29,29,30,30,30,30,30,19,21,22,22,22,23,23,23,25,25,25,25,27,27,28,28
63,Arjan Garh,28,27,27,27,27,25,25,23,25,25,25,25,27,27,27,28,28,28,28,29,29,29,29,29,30,30,27,27,28,28,28,28,29,29,28,27,27,27,25,25,25,25,23,23,22,22,22,22,21,21,21,19,19,19,18,18,16,16,15,15,12,12,10,8,10,10,12,15,15,28,27,27,27,25,25,25,29,28,28,28,27,27,27,27,25,25,23,23,23,22,22,22,22,23,23,23,25,25,25,25,27,27,27,27,28,28,28,28,29,29,29,29,30,30,30,30,30,30,30,30,21,22,22,23,23,23,25,25,25,25,27,27,27,28,28,29
64,Gurudronacharya,28,28,28,27,27,27,25,25,25,25,27,27,27,28,28,28,29,29,29,29,29,29,30,30,30,30,28,28,28,29,29,29,29,29,28,28,28,27,27,27,25,25,25,25,23,23,23,23,22,22,22,21,21,19,19,19,18,18,16,16,15,15,12,10,8,8,10,10,12,28,28,28,27,27,27,25,29,29,29,28,28,28,28,27,27,25,25,25,23,23,23,23,23,23,25,25,25,25,27,27,27,27,28,28,28,28,29,29,29,29,30,30,30,30,30,30,30,30,30,30,22,23,23,25,25,25,25,27,27,27,27,28,28,28,29,29
65,Sikandarpur.,28,28,28,28,27,27,27,25,25,27,27,27,28,28,28,29,29,29,29,29,30,30,30,30,30,30,28,28,28,29,29,29,29,30,29,28,28,28,27,27,27,25,25,25,25,25,23,23,22,22,22,22,21,21,19,19,19,18,18,16,16,15,15,10,8,8,8,10,12,28,28,28,28,27,27,27,29,29,29,29,28,28,28,27,27,27,25,25,25,23,23,23,23,25,25,25,25,27,27,27,27,28,28,28,28,29,29,29,29,30,30,30,30,30,30,30,30,30,30,30,22,23,25,25,25,25,27,27,27,27,28,28,28,29,29,29
66,MG Road,29,29,28,28,28,27,27,25,27,27,27,28,28,28,29,29,29,29,29,30,30,30,30,30,30,30,28,28,29,29,29,29,30,30,29,29,28,28,28,27,27,27,25,25,25,25,25,23,23,23,22,22,22,21,21,21,19,18,18,16,16,15,15,12,10,8,8,8,10,29,28,28,28,28,27,27,30,29,29,29,29,28,28,28,28,27,27,25,25,25,25,23,25,25,25,25,27,27,27,27,28,28,28,29,29,29,29,29,30,30,30,30,30,30,30,30,30,30,30,30,23,23,25,25,25,27,27,27,27,28,28,28,29,29,29,29
67,IFFCO Chowk,29,29,29,28,28,28,27,27,27,27,28,28,28,29,29,29,29,29,30,30,30,30,30,30,30,30,29,29,29,29,29,30,30,30,29,29,29,28,28,28,27,27,27,25,25,25,25,25,23,23,23,22,22,22,21,21,19,19,19,18,16,16,15,15,10,10,8,8,8,29,29,28,28,28,28,27,30,30,29,29,29,29,28,28,28,27,27,27,25,25,25,25,25,25,27,27,27,27,28,28,28,28,29,29,29,29,29,30,30,30,30,30,30,30,30,30,30,30,30,30,23,25,25,25,27,27,27,28,28,28,28,29,29,29,29,30
68,Huda City Centre,29,29,29,29,28,28,28,27,27,28,28,28,29,29,29,29,30,30,30,30,30,30,30,30,30,30,29,29,29,30,30,30,30,30,29,29,29,29,28,28,28,27,27,27,27,27,25,25,25,25,23,23,22,22,22,21,21,19,19,18,18,16,16,15,12,12,10,8,8,29,29,29,29,28,28,28,30,30,30,29,29,29,29,29,28,28,27,27,27,27,25,25,25,27,27,27,27,28,28,28,29,29,29,29,29,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,25,25,27,27,27,27,28,28,28,28,29,29,29,29,30,30
69,Vaishali,25,23,23,22,22,22,21,19,21,21,21,22,22,23,23,25,25,25,25,27,27,27,27,27,28,28,23,23,23,25,25,25,27,27,25,23,23,22,22,22,21,21,19,19,19,19,18,18,18,19,19,19,21,21,21,22,22,23,23,25,25,27,27,28,28,28,29,29,29,8,8,10,10,12,12,15,21,21,21,19,19,19,18,18,16,16,15,16,16,16,18,18,18,19,19,19,21,21,22,22,22,23,23,23,25,25,25,25,27,27,27,27,28,28,28,29,29,29,29,30,19,19,21,21,22,22,23,23,23,23,25,25,25,27,27,27
70,Kaushambi,23,23,22,22,22,21,21,19,19,21,21,21,22,22,23,23,25,25,25,25,25,27,27,27,27,28,22,22,23,23,25,25,25,25,23,23,22,22,21,21,21,19,19,18,18,18,18,16,18,18,18,19,19,21,21,21,22,22,23,23,25,25,25,27,28,28,28,29,29,8,8,8,8,10,12,12,21,21,19,19,18,18,18,16,16,15,15,15,16,16,16,16,18,18,19,19,19,21,21,21,22,22,22,23,23,23,25,25,25,25,27,27,27,28,28,28,28,29,29,29,18,19,19,21,21,22,22,22,23,23,23,25,25,25,27,27
71,Anand Vihar,23,22,22,22,21,21,19,19,19,19,21,21,22,22,22,23,23,23,25,25,25,25,27,27,27,27,22,22,23,23,23,25,25,25,23,22,22,21,21,21,19,19,19,18,18,18,18,16,18,18,18,18,19,19,21,21,22,22,22,23,25,25,25,27,28,28,28,28,29,10,8,8,8,10,10,12,21,19,19,18,18,18,16,16,16,15,12,15,15,16,16,16,18,18,18,19,19,19,21,21,21,22,22,22,23,23,23,25,25,25,27,27,27,27,28,28,28,28,29,29,18,19,19,19,21,21,22,22,22,23,23,23,25,25,27,27
72,Karkar Duma,22,22,22,21,21,21,19,18,19,19,19,21,21,22,22,23,23,23,23,25,25,25,25,27,27,27,22,22,22,23,23,23,25,25,22,22,22,21,21,19,19,19,18,18,16,16,16,16,16,16,18,18,19,19,19,21,21,22,22,23,23,25,25,27,27,28,28,28,29,10,8,8,8,8,10,10,19,19,18,18,18,16,16,16,15,15,12,15,15,15,16,16,16,18,18,18,19,19,19,21,21,21,22,22,22,23,23,23,25,25,25,27,27,27,27,28,28,28,28,29,16,18,19,19,21,21,21,22,22,22,23,23,23,25,25,27
73,Preet Vihar,22,22,21,21,19,19,19,18,18,19,19,19,21,21,22,22,22,23,23,23,25,25,25,25,27,27,21,21,22,22,23,23,23,25,22,22,21,21,19,19,19,18,18,16,16,16,16,15,16,16,16,18,18,19,19,19,21,21,22,22,23,23,25,25,27,27,28,28,28,12,10,10,8,8,8,10,19,18,18,18,16,16,16,15,15,12,10,12,15,15,15,15,16,16,18,18,18,19,19,19,21,21,21,22,22,22,23,23,23,25,25,25,27,27,27,27,28,28,28,29,16,18,18,19,19,19,21,21,22,22,22,23,23,23,25,25
74,Nirman Vihar ,22,21,21,21,19,19,18,16,18,18,18,19,19,21,21,22,22,22,23,23,23,25,25,25,25,27,21,21,22,22,22,23,23,23,22,21,21,19,19,19,18,18,16,16,16,16,15,15,15,16,16,16,18,18,19,19,19,21,21,22,22,23,23,25,27,27,27,28,28,12,12,10,10,8,8,8,19,18,18,16,16,16,15,15,12,10,10,12,12,12,15,15,15,16,16,18,18,18,19,19,19,21,21,21,22,22,22,23,23,23,25,25,25,27,27,27,27,28,28,28,16,18,18,18,19,19,21,21,21,21,22,22,23,23,25,25
75,Laxmi Nagar,21,21,21,19,19,18,18,16,16,18,18,19,19,21,21,21,22,22,22,23,23,23,25,25,25,25,19,21,21,22,22,22,23,23,21,21,19,19,19,18,18,16,16,16,15,15,15,15,15,15,16,16,16,18,18,18,19,21,21,22,22,23,23,25,25,27,27,27,28,15,12,12,10,10,8,8,18,18,16,16,16,15,15,12,12,10,8,10,10,12,12,15,15,15,16,16,16,18,18,19,19,19,21,21,21,22,22,22,23,23,23,25,25,25,27,27,27,27,28,28,15,16,18,18,19,19,19,21,21,21,22,22,22,23,23,25
76,Sect 32 City Centre,27,25,25,25,25,23,23,22,22,23,23,23,25,25,25,27,27,27,27,28,28,28,28,29,29,29,25,25,27,27,27,27,28,28,27,25,25,25,23,23,23,22,22,22,21,21,21,19,21,21,21,22,22,23,23,23,25,25,25,27,27,28,28,29,29,29,30,30,30,21,21,21,19,19,19,18,8,8,10,10,12,12,15,15,16,16,18,18,19,19,19,19,21,21,22,22,22,23,23,23,25,25,25,25,27,27,27,27,28,28,28,29,29,29,29,29,30,30,30,30,21,22,23,23,23,25,25,25,25,27,27,27,27,28,28,29
77,Golf Course,25,25,25,25,23,23,22,21,22,22,22,23,23,25,25,25,27,27,27,27,28,28,28,28,29,29,25,25,25,27,27,27,27,28,25,25,25,23,23,23,22,22,21,21,21,21,19,19,19,21,21,21,22,22,23,23,23,25,25,27,27,27,28,28,29,29,29,30,30,21,21,19,19,18,18,18,8,8,8,10,10,12,12,15,15,16,16,18,18,18,19,19,19,21,21,22,22,22,23,23,23,25,25,25,25,27,27,27,27,28,28,28,29,29,29,29,29,30,30,30,21,22,22,22,23,23,25,25,25,25,27,27,27,27,28,28
78,Botanical Garden,25,25,23,23,23,22,22,21,21,22,22,23,23,23,25,25,25,27,27,27,27,27,28,28,28,29,23,25,25,25,27,27,27,27,25,25,23,23,22,22,22,21,21,21,19,19,19,19,19,19,19,21,21,22,22,22,23,25,25,25,27,27,27,28,29,29,29,29,30,21,19,19,18,18,18,16,10,8,8,8,10,10,12,12,15,15,16,16,18,18,18,19,19,19,21,21,21,22,22,22,23,23,25,25,25,25,25,27,27,27,28,28,28,29,29,29,29,29,30,30,19,21,22,22,22,23,23,23,25,25,25,27,27,27,28,28
79,Noida Sect 18,25,23,23,23,22,22,21,21,21,21,22,22,23,23,23,25,25,25,27,27,27,27,27,28,28,28,23,23,25,25,25,25,27,27,25,23,23,23,22,22,21,21,21,19,19,19,19,18,19,19,19,21,21,21,22,22,23,23,23,25,25,27,27,28,28,29,29,29,29,19,19,18,18,18,16,16,10,10,8,8,8,10,10,12,12,15,15,16,16,18,18,18,19,19,19,21,21,21,22,22,22,23,23,23,25,25,25,27,27,27,27,28,28,28,28,29,29,29,29,30,19,21,21,22,22,22,23,23,23,25,25,25,27,27,27,28
80,Noida Sect 16,23,23,23,22,22,22,21,19,21,21,21,22,22,23,23,25,25,25,25,25,27,27,27,27,28,28,23,23,23,25,25,25,25,27,23,23,23,22,22,21,21,21,19,19,18,18,18,18,18,18,19,19,21,21,21,22,22,23,23,25,25,25,27,27,28,28,29,29,29,19,18,18,18,16,16,16,12,10,10,8,8,8,10,10,12,15,15,16,16,16,18,18,18,19,19,19,21,21,21,22,22,22,23,23,23,25,25,25,25,27,27,27,28,28,28,28,29,29,29,29,18,19,21,21,22,22,22,23,23,23,25,25,25,27,27,27
81,Noida Sect 15,23,23,22,22,22,21,21,19,19,21,21,21,22,22,23,23,25,25,25,25,27,27,27,27,27,28,22,23,23,23,25,25,25,25,23,23,22,22,21,21,21,19,19,19,18,18,18,16,18,18,18,19,19,21,21,21,22,22,23,23,25,25,25,27,28,28,28,29,29,19,18,18,16,16,16,15,12,12,10,10,8,8,8,10,10,12,15,15,16,16,16,16,18,18,19,19,19,21,21,21,22,22,22,23,23,23,25,25,25,25,27,27,28,28,28,28,28,29,29,29,18,19,21,21,21,22,22,22,23,23,23,25,25,25,27,27
82,New Ashok Nagar,23,22,22,22,21,21,19,19,19,19,21,21,21,22,22,23,23,23,25,25,25,25,27,27,27,27,22,22,23,23,23,25,25,25,23,22,22,21,21,21,19,19,19,18,18,18,18,16,18,18,18,18,19,19,21,21,21,22,22,23,23,25,25,27,28,28,28,28,29,18,18,16,16,16,15,15,15,12,12,10,10,8,8,8,10,12,12,15,15,16,16,16,18,18,18,19,19,19,21,21,21,22,22,22,23,23,23,25,25,25,25,27,27,27,28,28,28,28,29,29,18,19,19,19,21,21,22,22,22,23,23,23,25,25,27,27
83,Mayur Vihar-I Ext,22,22,22,21,21,21,19,18,19,19,19,21,21,22,22,22,23,23,23,25,25,25,25,27,27,27,22,22,22,23,23,23,25,25,22,22,22,21,21,19,19,19,18,18,16,16,16,16,16,16,18,18,19,19,19,21,21,22,22,23,23,25,25,27,27,27,28,28,29,18,16,16,16,15,15,12,15,15,12,12,10,10,8,8,8,10,12,15,15,15,16,16,16,18,18,18,19,19,19,21,21,21,22,22,22,23,23,23,25,25,25,27,27,27,27,28,28,28,28,29,16,18,19,19,21,21,21,22,22,22,23,23,23,25,25,27
84,Mayur Vihar-I,22,22,21,21,19,19,19,18,18,18,19,19,21,21,22,22,22,23,23,23,25,25,25,25,27,27,21,21,22,22,23,23,23,25,22,22,21,21,19,19,19,18,18,16,16,16,16,15,16,16,16,18,18,19,19,19,21,21,22,22,23,23,25,25,27,27,28,28,28,16,16,16,15,15,12,12,16,15,15,12,12,10,10,8,8,8,10,12,15,15,15,15,16,16,18,18,18,19,19,19,21,21,21,22,22,22,23,23,23,25,25,25,27,27,27,27,28,28,28,29,16,18,18,19,19,19,21,21,22,22,22,23,23,23,25,25
